time_id,item_id,location_id,dollars_sold,units_sold
159,24,17,133.95,3
242,8,6,56.15,2
47,6,1,64.32,3
204,18,22,62.27,2
185,46,19,258.06,6
287,36,22,135.57,7
364,43,12,252.01,5
243,9,16,178.74,3
150,21,30,50.17,3
149,30,7,101.87,4
153,22,20,46.14,2
298,21,4,81.52,4
118,18,2,68.62,2
61,3,29,35.47,3
123,43,4,197.55,6
9,47,20,79.89,6
39,5,16,101.79,3
33,21,25,35.93,2
282,26,17,60.56,3
264,40,21,194.19,5
255,50,27,235.82,9
169,21,25,41.99,2
262,38,22,73.56,4
59,47,5,86.06,5
329,42,6,204.1,6
183,15,15,46.28,1
343,41,20,355.14,9
56,21,21,57.98,3
182,1,24,12.56,1
255,38,4,54.93,3
181,42,6,172.23,6
163,18,5,36.8,1
61,23,17,160.05,4
140,19,20,145.06,4
88,6,4,88.07,3
111,50,27,206.59,7
250,2,10,63.56,2
231,28,20,171.7,5
222,1,23,28.9,2
133,35,2,67.6,5
351,46,26,309.05,7
32,33,30,138.78,5
126,31,29,206.83,5
44,42,5,137.63,5
124,49,12,162.57,4
352,44,7,280.67,6
134,12,14,18.22,1
332,29,30,68.2,2
181,41,23,38.61,2
256,15,24,113.8,3
167,34,13,308.81,8
98,2,29,37.04,1
279,44,28,186.2,6
354,31,25,135.31,4
97,38,25,92.69,5
285,42,20,135.88,4
96,11,3,79.64,3
262,23,9,105.0,3
288,43,24,271.2,10
165,9,10,41.52,1
269,42,6,166.48,6
100,15,29,116.79,3
29,29,15,67.39,2
36,26,26,72.34,4
164,35,9,37.3,3
330,42,11,260.04,8
47,18,11,128.53,4
167,9,12,97.2,2
257,22,14,69.16,3
74,31,9,108.24,3
264,38,25,15.81,1
112,38,10,114.45,5
296,17,14,152.03,7
212,47,26,76.34,6
200,5,14,81.94,3
65,6,1,76.71,3
170,2,1,92.79,3
313,47,14,82.65,4
8,10,20,69.65,2
277,31,29,177.6,5
180,41,4,216.23,8
263,39,17,88.04,5
243,48,9,125.05,8
158,3,14,43.36,3
113,21,14,25.24,1
229,26,10,47.18,3
52,35,1,11.92,1
214,32,3,114.71,5
35,28,16,224.32,6
238,16,7,46.48,2
230,6,10,94.51,4
31,22,3,115.55,5
277,13,2,95.53,4
152,28,4,104.05,4
288,40,12,268.45,5
16,28,5,136.48,5
66,30,7,55.23,2
181,3,10,22.13,2
69,33,9,50.35,2
121,22,1,43.8,2
242,7,4,147.86,4
53,11,29,87.82,3
248,40,21,52.25,2
38,46,4,117.87,4
64,26,9,71.04,3
215,49,12,278.23,7
290,10,28,111.48,3
63,15,27,121.42,2
110,47,24,105.4,9
338,9,4,98.31,2
362,33,15,120.17,4
213,11,15,99.59,3
164,17,20,71.79,3
127,24,26,103.3,3
224,18,10,177.84,5
216,44,17,317.41,7
108,49,8,172.32,5
9,26,7,44.13,3
56,27,10,138.4,4
350,3,23,45.91,4
153,12,14,118.29,5
177,2,21,61.74,2
171,43,21,293.27,10
286,12,11,18.25,1
24,18,29,95.75,3
31,43,2,215.76,6
101,36,27,47.32,2
178,32,1,76.91,3
245,2,12,112.7,3
180,29,25,47.74,2
162,29,21,68.25,3
343,16,10,93.28,4
59,38,27,24.82,1
209,47,5,103.59,7
198,13,21,57.93,3
173,17,16,44.68,2
295,17,7,44.41,2
98,42,28,136.82,4
349,4,23,49.69,3
122,45,1,161.05,7
199,39,3,80.12,5
191,25,2,53.01,3
311,30,13,219.85,6
161,45,13,86.18,4
104,39,22,14.97,1
8,14,21,35.79,2
133,3,1,27.98,3
302,33,15,141.45,5
4,8,24,29.41,1
328,5,27,54.33,2
199,50,9,244.98,12
52,24,2,109.36,3
111,33,5,122.14,4
203,11,11,57.86,2
116,6,14,122.94,4
40,4,11,14.35,1
244,18,3,61.54,2
246,1,11,41.45,3
44,22,9,54.71,3
103,17,15,62.51,2
90,27,3,160.78,5
241,30,24,55.96,2
267,16,13,128.43,5
266,23,10,62.31,2
343,4,28,52.94,3
281,16,23,78.85,4
118,49,5,219.3,8
40,50,5,287.27,11
225,25,1,84.53,6
335,47,17,145.49,7
356,26,11,84.88,4
85,7,12,46.93,1
87,44,16,272.83,7
14,21,17,79.02,3
52,31,1,191.18,5
203,33,4,25.68,1
200,16,24,127.63,5
136,37,29,61.33,3
114,26,26,28.18,2
303,19,28,149.18,4
168,15,14,160.06,3
296,38,25,47.24,2
352,13,27,98.39,4
116,7,27,147.63,4
74,45,5,96.1,5
348,17,5,122.2,6
232,33,13,91.33,3
107,36,16,47.96,2
227,42,29,174.47,8
188,32,10,24.75,1
331,36,25,161.66,6
94,42,27,278.22,9
362,48,29,51.97,3
342,3,6,56.93,5
66,38,8,48.08,2
61,9,7,96.54,3
195,45,23,188.24,10
17,3,21,7.2,1
110,13,13,172.37,5
159,10,3,98.31,3
354,31,16,83.79,2
363,1,22,47.26,3
56,1,15,37.66,2
326,26,9,130.18,8
34,49,18,252.1,7
274,27,20,128.57,3
309,23,18,218.14,6
326,33,27,70.86,2
82,28,10,61.73,2
